,name,developer,experimental,max_sequence_length,batch_size,iteration_offset,approx_model_size
0,gpt-35-turbo-16k-0613,OpenAI,False,16384,,,
1,gpt-4-0613,OpenAI,False,8192,,,
2,sarashina2-8x70b,SB Intuitions,False,8192,,,
3,llmjp3-980m,LLM-jp,False,4096,512,0,980000000
4,llmjp3-1.8b,LLM-jp,False,4096,512,0,1800000000
5,llmjp3-1.8b-instruct,LLM-jp,False,4096,512,0,1800000000
6,llmjp3-440m,LLM-jp,False,4096,512,0,440000000
7,llmjp3-150m,LLM-jp,False,4096,512,0,150000000
8,llmjp3-980m-rolling3,LLM-jp,True,4096,512,0,980000000
9,llmjp3-980m-rolling2,LLM-jp,True,4096,512,0,980000000
10,llmjp3-980m-rolling20,LLM-jp,True,4096,512,0,980000000
11,llmjp3-980m-rolling5,LLM-jp,True,4096,512,0,980000000
12,llmjp3-980m-rolling10,LLM-jp,True,4096,512,0,980000000
13,llmjp3-1.8b-rolling3,LLM-jp,True,4096,512,0,1800000000
14,llmjp3-1.8b-ep2-exp1,LLM-jp,True,4096,512,0,1800000000
15,llmjp3-1.8b-rolling20,LLM-jp,True,4096,512,0,1800000000
16,llmjp3-1.8b-rolling10,LLM-jp,True,4096,512,0,1800000000
17,llmjp3-1.8b-rolling2,LLM-jp,True,4096,512,0,1800000000
18,llmjp3-1.8b-rolling5,LLM-jp,True,4096,512,0,1800000000
19,llmjp3-440m-rolling20,LLM-jp,True,4096,512,0,440000000
20,llmjp3-440m-rolling5,LLM-jp,True,4096,512,0,440000000
21,llmjp3-440m-rolling3,LLM-jp,True,4096,512,0,440000000
22,llmjp3-440m-rolling2,LLM-jp,True,4096,512,0,440000000
23,llmjp3-440m-rolling10,LLM-jp,True,4096,512,0,440000000
24,llmjp3-150m-rolling3,LLM-jp,True,4096,512,0,150000000
25,llmjp3-150m-rolling5,LLM-jp,True,4096,512,0,150000000
26,llmjp3-150m-rolling2,LLM-jp,True,4096,512,0,150000000
27,llmjp3-150m-rolling10,LLM-jp,True,4096,512,0,150000000
28,llmjp3-150m-rolling20,LLM-jp,True,4096,512,0,150000000
29,sip-general-v1-13b,SIP,False,4096,1024,0,13000000000
30,sip-general-v1-3.7b-rolling3,SIP,False,4096,1024,0,3700000000
31,sip-general-v1-3.7b-rolling2,SIP,False,4096,1024,0,3700000000
32,sip-general-v1-3.7b,SIP,False,4096,1024,0,3700000000
33,sip-general-v1-3.7b-rolling10,SIP,False,4096,1024,0,3700000000
34,sip-general-v1-3.7b-rolling20,SIP,False,4096,1024,0,3700000000
35,sip-general-v1-3.7b-rolling5,SIP,False,4096,1024,0,3700000000
36,llmjp3-13b,LLM-jp,False,4096,1024,0,13000000000
37,llmjp3-13b-instruct,LLM-jp,False,4096,1024,0,13000000000
38,llmjp3-7.2b,LLM-jp,False,4096,1024,0,7200000000
39,llmjp3-3.7b,LLM-jp,False,4096,1024,0,3700000000
40,llmjp3-3.7b-instruct,LLM-jp,False,4096,1024,0,3700000000
41,llmjp3-8expert_4granularity_0shared_top4_9.2b_active1.8b,LLM-jp,True,4096,1024,0,
42,llmjp3-8x1.8b-exp1-rerun,LLM-jp,True,4096,1024,0,
43,llmjp3-16expert_2granularity_0shared_top4_17b_active2.9b,LLM-jp,True,4096,1024,0,
44,llmjp3-8x1.8b-exp1,LLM-jp,True,4096,1024,0,
45,llmjp3-8expert_8granularity_0shared_top8_9.2b_active1.8b,LLM-jp,True,4096,1024,0,
46,llmjp3-8expert_2granularity_0shared_top2_9.2b_active1.8b,LLM-jp,True,4096,1024,0,
47,llmjp3-8x1.8b-exp2-rerun,LLM-jp,True,4096,1024,0,
48,llmjp3-8x13b-exp1,LLM-jp,True,4096,1024,0,
49,llmjp3-16expert_1granularity_0shared_top2_17b_active2.9b,LLM-jp,True,4096,1024,0,
50,llmjp3-8x1.8b-exp2,LLM-jp,True,4096,1024,0,
51,llmjp3-16expert_4granularity_0shared_top8_17b_active2.9b,LLM-jp,True,4096,1024,0,
52,llmjp3-13b-lr8e-5,LLM-jp,True,4096,1024,0,13000000000
53,llmjp3-13b-rolling20,LLM-jp,True,4096,1024,0,13000000000
54,llmjp3-13b-rolling2,LLM-jp,True,4096,1024,0,13000000000
55,llmjp3-13b-lr1e-4,LLM-jp,True,4096,1024,0,13000000000
56,llmjp3-13b-rolling5,LLM-jp,True,4096,1024,0,13000000000
57,llmjp3-13b-lr1e-4-cos,LLM-jp,True,4096,1024,0,13000000000
58,llmjp3-13b-lr3e-4-cos,LLM-jp,True,4096,1024,0,13000000000
59,llmjp3-13b-rolling10,LLM-jp,True,4096,1024,0,13000000000
60,llmjp3-13b-rolling3,LLM-jp,True,4096,1024,0,13000000000
61,llmjp3-7.2b-rolling20,LLM-jp,True,4096,1024,0,7200000000
62,llmjp3-7.2b-rolling2,LLM-jp,True,4096,1024,0,7200000000
63,llmjp3-7.2b-rolling10,LLM-jp,True,4096,1024,0,7200000000
64,llmjp3-7.2b-rolling5,LLM-jp,True,4096,1024,0,7200000000
65,llmjp3-7.2b-rolling3,LLM-jp,True,4096,1024,0,7200000000
66,llmjp3-3.7b-rolling5,LLM-jp,True,4096,1024,0,3700000000
67,llmjp3-3.7b-rolling2,LLM-jp,True,4096,1024,0,3700000000
68,llmjp3-3.7b-rolling3,LLM-jp,True,4096,1024,0,3700000000
69,llmjp3-3.7b-rolling20,LLM-jp,True,4096,1024,0,3700000000
70,llmjp3-3.7b-rolling10,LLM-jp,True,4096,1024,0,3700000000
71,sip-general-v1-172b,SIP,False,4096,1728,0,172000000000
72,llmjp3-172b,LLM-jp,False,4096,1728,0,172000000000
73,llmjp3-172b-beta2-instruct2,LLM-jp,False,4096,1728,0,172000000000
74,llmjp3-172b-beta1-instruct,LLM-jp,False,4096,1728,0,172000000000
75,llmjp3-172b-instruct2,LLM-jp,True,4096,1728,0,172000000000
76,llmjp3-172b-quant-w8a8-smoothquant-en,LLM-jp,True,4096,1728,0,172000000000
77,llmjp3-172b-instruct3,LLM-jp,True,4096,1728,0,172000000000
78,llmjp3-172b-beta2-instruct-exp-Xt0reBK10n,LLM-jp,True,4096,1728,0,172000000000
79,llmjp3-172b-quant-w8a8-smoothquant-enja,LLM-jp,True,4096,1728,0,172000000000
80,llmjp3-172b-quant-w8a8-smoothquant-ja,LLM-jp,True,4096,1728,0,172000000000
81,llmjp3-13b-0095cpt-inst0.2,LLM-jp,True,4096,1024,494120,13000000000
82,llmjp3-13b-ep2-exp5,LLM-jp,True,4096,1024,494120,13000000000
83,llmjp3-13b-hqcpt-exp1a,LLM-jp,True,4096,1024,494120,13000000000
84,llmjp3-13b-ep2-exp2,LLM-jp,True,4096,1024,494120,13000000000
85,llmjp3-7.2b-0095cpt-inst0.2,LLM-jp,True,4096,1024,494120,7200000000
86,llmjp3-3.7b-hqcpt-exp3a,LLM-jp,True,4096,1024,494120,3700000000
87,llmjp3-3.7b-hqcpt-exp1e,LLM-jp,True,4096,1024,494120,3700000000
88,llmjp3-3.7b-hqcpt-exp1b,LLM-jp,True,4096,1024,494120,3700000000
89,llmjp3-3.7b-0095cpt-inst0.5,LLM-jp,True,4096,1024,494120,3700000000
90,llmjp3-3.7b-0095cpt-inst0.2,LLM-jp,True,4096,1024,494120,3700000000
91,llmjp3-3.7b-hqcpt-exp2a,LLM-jp,True,4096,1024,494120,3700000000
92,llmjp3-3.7b-0095cpt-inst0.1,LLM-jp,True,4096,1024,494120,3700000000
93,llmjp3-3.7b-hqcpt-exp1c,LLM-jp,True,4096,1024,494120,3700000000
94,llmjp3-3.7b-hqcpt-exp2b,LLM-jp,True,4096,1024,494120,3700000000
95,llmjp3-3.7b-hqcpt-exp1a,LLM-jp,True,4096,1024,494120,3700000000
96,llmjp3-1.8b-0095cpt-inst0.4,LLM-jp,True,4096,1024,494120,1800000000
97,llmjp3-1.8b-0095cpt-base,LLM-jp,True,4096,1024,494120,1800000000
98,llmjp3-1.8b-0095cpt-inst0.3,LLM-jp,True,4096,1024,494120,1800000000
99,llmjp3-1.8b-0095cpt-inst0.2,LLM-jp,True,4096,1024,494120,1800000000
100,llmjp3-1.8b-0095cpt-inst0.6,LLM-jp,True,4096,1024,494120,1800000000
101,llmjp3-1.8b-0095cpt-inst0.9,LLM-jp,True,4096,1024,494120,1800000000
102,llmjp3-1.8b-0095cpt-lr1.5-inst0.1,LLM-jp,True,4096,1024,494120,1800000000
103,llmjp3-1.8b-0095cpt-inst0.1-tuned,LLM-jp,True,4096,1024,494120,1800000000
104,llmjp3-1.8b-0095cpt-inst0.7,LLM-jp,True,4096,1024,494120,1800000000
105,llmjp3-1.8b-0095cpt-inst0.8,LLM-jp,True,4096,1024,494120,1800000000
106,llmjp3-1.8b-0095cpt-inst1,LLM-jp,True,4096,1024,494120,1800000000
107,llmjp3-1.8b-0095cpt-inst0.5,LLM-jp,True,4096,1024,494120,1800000000
108,llmjp3-1.8b-0095cpt-inst0.05,LLM-jp,True,4096,1024,494120,1800000000
109,llmjp3-1.8b-0095cpt-inst0.5-tuned,LLM-jp,True,4096,1024,494120,1800000000
110,llmjp3-1.8b-0095cpt-inst0.01,LLM-jp,True,4096,1024,494120,1800000000
111,llmjp3-1.8b-hqcpt-exp3a-bs1024,LLM-jp,True,4096,1024,494120,1800000000
